first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,full_name
Tom,Ince,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,Tom Ince
Danny,Williams,0,0,6,94,1,11.4,8.6,1.0,0,12,2.0,1,0,1,0.0,45,Danny Williams
Abdelhamid,Sabiri,0,0,2,48,3,0.5,4.2,2.0,0,6,0.7,0,0,0,0.0,43,Abdelhamid Sabiri
Alex,Pritchard,2,0,69,2079,40,497.9,297.4,546.0,2,251,134.0,7,0,2,0.1,48,Alex Pritchard
Ramadan,Sobhi,0,0,4,75,2,48.2,15.4,6.0,0,13,6.9,0,0,0,0.1,47,Ramadan Sobhi
Juninho,Bacuna,1,0,39,1410,37,278.8,246.4,131.0,1,179,65.9,0,0,4,0.4,42,Juninho Bacuna
Collin,Quaner,0,0,2,37,2,13.7,2.2,0.0,0,3,1.6,0,0,0,3.5,43,Collin Quaner
Laurent,Depoitre,0,1,34,1058,23,124.3,51.6,381.0,0,40,54.8,0,0,1,0.3,51,Laurent Depoitre
Steve,Mounie,2,4,69,1767,38,251.7,226.4,788.0,4,153,123.9,5,1,1,0.2,58,Steve Mounie
Elias,Kachunga,0,0,29,1175,30,109.0,83.6,180.0,0,41,36.7,1,0,2,0.1,48,Elias Kachunga
Erik,Durm,0,1,49,2049,45,209.2,281.8,114.0,2,297,60.7,3,0,0,0.1,44,Erik Durm
Adama,Diakhaby,0,1,19,548,16,80.6,40.0,115.0,0,38,23.4,1,0,1,0.0,45,Adama Diakhaby
Isaac,Mbenza,1,1,38,977,25,118.5,110.4,174.0,0,127,40.0,0,0,1,0.0,59,Isaac Mbenza
Jon,Stankovic,1,0,24,715,20,28.2,166.6,101.0,2,127,29.5,2,0,2,2.9,39,Jon Stankovic
Ryan,Schofield,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,Ryan Schofield
Karlan,Grant,3,2,45,873,23,109.6,141.8,308.0,5,123,55.9,1,0,0,0.2,50,Karlan Grant
